Country ISO3,Country,Year,Domain,Metric,Value,Unit,Source,Source URL,Loaded at
ARM,Armenia,2020,Demographics,Population,2961500,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ARM,Armenia,2020,Economics,GDP (current US$),12641698583.2152,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ARM,Armenia,2021,Demographics,Population,2962300,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ARM,Armenia,2021,Economics,GDP (current US$),13878908628.9378,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ARM,Armenia,2022,Demographics,Population,2969200,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ARM,Armenia,2022,Economics,GDP (current US$),19513506553.1251,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ARM,Armenia,2023,Demographics,Population,2964300,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ARM,Armenia,2023,Economics,GDP (current US$),24185982215.6543,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ARM,Armenia,2024,Demographics,Population,3033500,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ARM,Armenia,2024,Economics,GDP (current US$),25955275380.0321,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ARM,Armenia,2025,Demographics,Population,3086700,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ARM,Armenia,2025,Economics,GDP (current US$),29243452882.3545,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
